 ,Sale,Broker,Lot #,Desc,Bales,Micron,Y,Y-Z,VM,SD1%,cln kg,Valuation,,Style,Letter Length,Letter helper,,Length ,Comment,LimitGroup,,,,Limits (COF / GSY),X,GSY,COF,Status,Buyer,Allocation
8,I36,PGD,    2068,X CRT A,8,39.4,62.4,3.9,0,65.5,798,"699 K,Z1","699 K,Z1",699,"K,Z1",K,68,68,,,,,,    /    ,,1.18,1.801526718,S,MAS,
9,I36,PGD,    2069,X H AA,10,33.4,67.8,0.5,0,78.1,1511,106 I,106 I,106,I,I,82,82,,107 G,,,,316    /  247  ,,2.13,2.727272727,S,MAS,
9,I36,PGD,    2070,CPW A,21,37.4,61.5,5.4,0.1,76.6,2636,"4 F,OT",4 F,4,F,F,100,94,,128/9F,,,,232    /  178  ,,1.75,2.2845953,S,WSI,
9,I36,PGD,    2071,DNX A,6,33.7,61,4.3,0.1,70.8,646,"799 I,OT",799 I,799,I,I,82,82,2-,HIBULK,,,,233    /  165  ,,1.38,1.949152542,P,CHG,
9,I36,PGD,    2072,X AA,23,36.3,63.2,4.8,0,82.5,3361,"114- G,OT",114- G,114-,G,G,90,90,,128/9 G,,,,232    /  191  ,,1.93,2.339393939,P,MAS,
9,I36,PGD,    2073,X A,18,35.7,62.7,8.1,0,80.8,2555,"1 G,OT",1 G,1,G,G,90,90,WBY,,,,,    /    ,,1.8,2.227722772,S,FUHR,
9,I36,PGD,    2074,X H A,18,36,61.2,4.7,0.1,80.5,2146,4+ F/E,4+ F/E,4+,F/E,F,100,105,,128-D,128-F,,,250  245  /  201  197,,1.89,2.347826087,P,WSI,
9,I36,PGD,    2075,X A,21,36.4,61.3,5.4,0,78.5,2751,"4+ F,OT",4+ F,4+,F,F,100,98,,128-F,128/9F,,,243  233  /  191  183,,1.84,2.343949045,P,MAS,
9,I36,PGD,    2076,X A,14,37.3,62,4.8,0.1,78.9,1687,3- F,3- F,3-,F,F,100,98,,128-F,128/9F,,,242  232  /  191  183,,1.85,2.344740177,P,WSI,
9,I36,PGD,    2077,X A,53,36.8,61.5,4.5,0,77.9,6167,"3- F,OT",3- F,3-,F,F,100,94,,128-F,128/9F,,,243  232  /  189  181,,1.85,2.374839538,P,MAS,
9,I36,PGD,    2078,X A,21,36,61.9,6.1,0.1,73.6,2124,"4 F,OT",4 F,4,F,F,100,96,,128/9F,,,,234    /  172  ,,1.68,2.282608696,S,FUHR,
